الحسن البصري,اِصْحَب الناس بأي خلق شئت يصحبوك.,حكم و أقوال عن الناس 
شارلي شابلن,"ابتسم وعش حياتك ، الحياة جديرة بالاهتمام.",حكم و أقوال عن الحياة 
ألبرت أينشتاين,"ابقى بعيداً عن الناس السلبية , هم يمتلكون مشكلة لكل حل.",حكم و أقوال عن الناس 
صمويل جونسون,"احتفظ بمخاوفك لنفسك , وأشرك الناس في جرأتك.",حكم و أقوال عن الناس 
الفضيل بن عياض,احق الناس بالرضا عن الله أهل المعرفة بالله عز وجل.,حكم و أقوال عن الناس 
نجيب محفوظ,ادخل بيوت الناس اعمى واخرج منها ابكم لا شأن لك بتفاصيل بيوتهم ولا شأن لك بما سمعت عندهم.,حكم و أقوال عن الناس 
مصطفى السباعي,اذا أردت الخلود في الحياة فاعتن بعقلك,حكم و أقوال عن الحياة 
إبراهيم الفقي,"اذا هاجمك الناس وأنت على حق ، أو أزعجوك بالنقد فافرح ، انهم يقولون لك أنك ناجح ومؤثر.",حكم و أقوال عن الناس 
محمود درويش,اسباب الوفاة كثيرة من بينها وجع الحياة,حكم و أقوال عن الحياة 
أحمد عمارة,استهلكنا وقتا طويلا في الوصول لأفكار قيمة .. ثم وضعناها في الأوراق !! لا في الحياة !ا,حكم و أقوال عن الحياة 
الحسن البصري,استوى الناس في العافية فاذا نزل البلاء تباينوا,حكم و أقوال عن الناس 
الحسن البصري,"اصحب الناس بمكارم الأخلاق ، فإن الثواء بينهم قليل",حكم و أقوال عن الناس 
محمود درويش,اصرخ لتعلم أنك ما زلتَ حيّاً وحيّاً وأن الحياة على هذه الأرض ممكنة,حكم و أقوال عن الحياة 
نور عبدالمجيد,"اصعب حاجة ،،،، لما الناس تحذرك من حد و انت تدافع عنه ،،، و فى الاخر يطلع كلامهم صح",حكم و أقوال عن الناس 
وليم شكسبير,اصعب معركة في حياتك عندما يدفعك الناس الى ان تكون شخصا اخر,حكم و أقوال عن الناس 
المهاتما غاندي,"اعترف بخطئك سريعاً وبكل تواضع ، فالناس تعرف أنك أخطأت بالفعل ولكنهم سيقدرون حسن خلقك.",حكم و أقوال عن الناس 
عائض القرني,"اعتزل الناس إلا من خير ، وكن جليس بيتك ، وأقبل على شأنك ، وقلل من المخالطة.",حكم و أقوال عن الناس 
جبران خليل جبران,اعطني الناي وغني وانس داء و دواء .. إنما الناس سطور كتبت لكن بماء,حكم و أقوال عن الناس 
عز الدين شكري فشير,"اعلم أن كل الناس مثلك، تحب وترغب فى وصال من تحبه. لا تتوارَ، فكلنا يا صديقى نمر من هذا الباب.",حكم و أقوال عن الناس 
